date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:47:53	404534/404534	---M--	200	added ('OK')	text/html	etag:%2297bb8e-62c36-5cd6cebf54e24%22	https://portotheme.com/html/wolmart/demo1.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/demo1.html	(from )
05:47:53	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20May%202022%2012:47:52%20GMT	https://portotheme.com/robots.txt		(from )
05:47:53	4687/4687	---M--	200	added ('OK')	image/png	etag:%2297b46c-124f-5cd6cebee39a7%22	https://portotheme.com/html/wolmart/assets/images/icons/favicon.png	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/images/icons/favicon.png	(from https://portotheme.com/html/wolmart/demo1.html)
05:47:53	13221/13221	---M--	200	added ('OK')	application/javascript	etag:%2297bb51-33a5-5cd6cebf4e4ac%22	https://portotheme.com/html/wolmart/assets/js/webfont.js	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/js/webfont.js	(from https://portotheme.com/html/wolmart/demo1.html)
05:47:54	13552/13552	---M--	200	added ('OK')	font/woff2	etag:%2297b3fa-34f0-5cd6cebedc08f%22	https://portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-regular-400.woff2	(from https://portotheme.com/html/wolmart/demo1.html)
05:47:54	74256/74256	---M--	200	added ('OK')	font/woff2	etag:%2297b3fe-12210-5cd6cebedc85f%22	https://portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-solid-900.woff2	(from https://portotheme.com/html/wolmart/demo1.html)
05:47:54	74768/74768	---M--	200	added ('OK')	font/woff2	etag:%2297b3f9-12410-5cd6cebedc08f%22	https://portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-brands-400.woff2	(from https://portotheme.com/html/wolmart/demo1.html)
05:47:56	55111/55111	---M--	200	added ('OK')	text/css	etag:%2297b3f2-d747-5cd6cebedb4d7%22	https://portotheme.com/html/wolmart/assets/vendor/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/vendor/fontawesome-free/css/all.min.css	(from https://portotheme.com/html/wolmart/demo1.html)
05:47:56	68172/68172	---M--	200	added ('OK')	font/woff	etag:%2297b263-10a4c-5cd6cebea8470%22	https://portotheme.com/html/wolmart/assets/fonts/wolmart.woff?png09e	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/fonts/wolmart87d5.woff	(from https://portotheme.com/html/wolmart/demo1.html)
05:47:56	5724/5724	---M--	200	added ('OK')	text/css	etag:%2297b420-165c-5cd6cebedef6f%22	https://portotheme.com/html/wolmart/assets/vendor/magnific-popup/magnific-popup.min.css	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/vendor/magnific-popup/magnific-popup.min.css	(from https://portotheme.com/html/wolmart/demo1.html)
